번호,업태구분,사업장명,인허가일자,전화번호,도로명주소,지번주소,위도,경도,소재지면적,다중이용업소여부
890,일반조리판매,콴안다오,2022-12-22,,"전북특별자치도 전주시 완산구 마전들로 13, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1669-1 ,,,148.8,N
891,일반조리판매,행복한휴게실,2022-12-27,,"전북특별자치도 전주시 완산구 대동로 96, 1층 (서노송동)",전북특별자치도 전주시 완산구 서노송동 614-15 ,,,18.2,N
892,일반조리판매,카페통통,2023-01-13,,"전북특별자치도 전주시 완산구 기린대로 209, 1층일부층 (서노송동)",전북특별자치도 전주시 완산구 서노송동 568-113 전주시사회혁신센터 ,,,22.88,N
893,일반조리판매,원백당,2023-01-16,,"전북특별자치도 전주시 완산구 서곡1길 13-7, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1453-6 ,,,73.7,N
894,일반조리판매,김찌(KIMCCI),2023-01-30,,"전북특별자치도 전주시 완산구 척동7길 5, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1641-3 드림빌 ,,,27.56,N
895,일반조리판매,헤이유베이크,2023-02-01,,"전북특별자치도 전주시 완산구 배학2길 11, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1682-7 ,,,27.24,N
896,일반조리판매,인디비주얼커피랩,2023-02-06,,"전북특별자치도 전주시 완산구 한지길 9-2, 1층 (남노송동)",전북특별자치도 전주시 완산구 남노송동 536-10 ,,,50.11,N
897,일반조리판매,호떡귀신,2023-09-06,,"전북특별자치도 전주시 완산구 충경로 49, 1층 (중앙동3가)",전북특별자치도 전주시 완산구 중앙동3가 14-9 ,,,46.08,N
898,일반조리판매,읍천리382 전주중앙점,2023-09-08,,"전북특별자치도 전주시 완산구 전주객사4길 74-24, 1층 (고사동)",전북특별자치도 전주시 완산구 고사동 163-2 ,,,46.6,N
899,일반조리판매,경주십원빵,2023-09-11,,"전북특별자치도 전주시 완산구 태조로 18, 1층 (풍남동3가)",전북특별자치도 전주시 완산구 풍남동3가 61-6 ,,,49.13,N
900,일반조리판매,맹글러,2023-09-19,,"전북특별자치도 전주시 완산구 메너머1길 14-15, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 568-6 ,,,36.72,N
901,일반조리판매,유올리,2023-09-22,,"전북특별자치도 전주시 완산구 천잠로 227-63, 1층 (효자동2가, 천잠재)",전북특별자치도 전주시 완산구 효자동2가 1031-9 천잠재 ,,,29.7,N
902,일반조리판매,써브웨이 전주객사점,2023-10-25,,"전북특별자치도 전주시 완산구 팔달로 191-3, 1층 (고사동)",전북특별자치도 전주시 완산구 고사동 72-3 ,,,184.61,N
903,일반조리판매,주과자,2023-12-28,,"전북특별자치도 전주시 완산구 홍산1길 21, 105동 1층 124호 (효자동2가, 서희스타힐스)",전북특별자치도 전주시 완산구 효자동2가 1157-1 서희스타힐스 ,,,29.79,N
904,일반조리판매,본샐러드,2024-03-21,,"전북특별자치도 전주시 완산구 봉곡로 115, 주건축물제1동 1층 102호 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1158-30 ,,,39.2,N
905,일반조리판매,호로록국수,2024-06-20,,"전북특별자치도 전주시 완산구 거마평로 14, 1층일부층 (삼천동1가)",전북특별자치도 전주시 완산구 삼천동1가 669-1 ,,,24.91,N
906,일반조리판매,디저트스튜디오설설설,2024-07-15,,"전북특별자치도 전주시 완산구 당산로 11, 상가3동 1층 4호 (서신동, 쌍용서신아파트)",전북특별자치도 전주시 완산구 서신동 761-2 쌍용서신아파트 ,,,35.62,N
907,일반조리판매,전주무인라면짱,2024-07-16,,"전북특별자치도 전주시 완산구 전라감영4길 13-6, 1층 (중앙동2가)",전북특별자치도 전주시 완산구 중앙동2가 17-3 ,,,0,N
908,일반조리판매,빽다방 전주시청점,2024-09-02,,"전북특별자치도 전주시 완산구 기린대로 205, 2층 (서노송동)",전북특별자치도 전주시 완산구 서노송동 568-116 다올빌딩 ,,,91,N
909,일반조리판매,이든베네딕숑,2024-10-23,,"전북특별자치도 전주시 완산구 쑥고개로 384, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 232-1 ,,,61.26,N
910,일반조리판매,동쿡바게트바,2024-12-20,,"전북특별자치도 전주시 완산구 매곡로 27-17, 1층 (동완산동)",전북특별자치도 전주시 완산구 동완산동 400-2 ,,,111.32,N
911,일반조리판매,그레이핍플,2025-04-28,,"전북특별자치도 전주시 완산구 화산천변로 29, 롯데마켓 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 748-3 롯데마켓 ,,,40.5,N
912,일반조리판매,뮤,2025-05-20,,"전북특별자치도 전주시 완산구 서신천변로 18, 1층 (서신동)",전북특별자치도 전주시 완산구 서신동 847-14 ,,,32.16,N
913,일반조리판매,지에스25효자프리미엄점,2025-06-12,,"전북특별자치도 전주시 완산구 범안3길 2, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1162-9 ,,,5.4,N
914,일반조리판매,방앗간분식,2025-06-20,,"전북특별자치도 전주시 완산구 소대배기로 10, 1층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 890-1 ,,,44.83,N
915,일반조리판매,한옥대감돌문어빵,2025-06-20,,"전북특별자치도 전주시 완산구 은행로 55, 2동 1층 일부 (풍남동3가)",전북특별자치도 전주시 완산구 풍남동3가 61-5 ,,,11.52,N
916,일반조리판매,지에스25전주평화광신점,2025-07-01,,"전북특별자치도 전주시 완산구 맏내로 28, 근린생활시설1동 1층 101호 (평화동2가, 평화동 광신프로그레스 아파트)",전북특별자치도 전주시 완산구 평화동2가 956 평화동 광신프로그레스 아파트 ,,,4.32,N
917,일반조리판매,소담,2025-07-04,,"전북특별자치도 전주시 완산구 봉곡로 93, 1층일부 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1266-5 ,,,18.16,N
918,일반조리판매,보드게임카페 레드버튼 전주신시가지점,2025-07-07,,"전북특별자치도 전주시 완산구 홍산중앙로 27, 백악빌딩 4층 402호일부 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1535-8 백악빌딩 ,,,56.44,N
919,일반조리판매,뵈르누아제(BEURRENOISETTE),2025-07-11,,"전북특별자치도 전주시 완산구 영선로 7, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 266-49 ,,,81.47,N
920,일반조리판매,신구구,2025-08-01,,"전북특별자치도 전주시 완산구 태평3길 70, 2층 46호 (태평동)",전북특별자치도 전주시 완산구 태평동 36-1 중앙아파트 ,,,13.34,N
921,일반조리판매,피자에땅 완산구점,2025-08-05,,"전북특별자치도 전주시 완산구 삼천천변2길 53, 1동 1층 103호 (삼천동1가)",전북특별자치도 전주시 완산구 삼천동1가 287-4 우성삼천2차아파트 ,,,41.4,N
922,일반조리판매,오운,2025-08-13,,"전북특별자치도 전주시 완산구 서곡2길 14-8, 1층일부층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1462-5 ,,,44.72,N
923,일반조리판매,블루웨일더후르츠 전주효자점 24시과일가게,2025-08-21,,"전북특별자치도 전주시 완산구 서원로 134, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1159-1 지저스빌딩 ,,,46.55,N
924,일반조리판매,라부,2025-08-25,,"전북특별자치도 전주시 완산구 모악로 4605, 1층일부층 (평화동3가)",전북특별자치도 전주시 완산구 평화동3가 337 ,,,104.5,N
925,일반조리판매,꽈배기진 효자로컬푸드점,2025-08-26,,"전북특별자치도 전주시 완산구 우전1길 40-10, 주건축물제2동 1층일부층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 166-14 ,,,69.85,N
926,일반조리판매,도너츠방앗간,2025-08-27,,"전북특별자치도 전주시 완산구 모악로 4689, 1층 105호 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 312-5 ,,,90,N
927,일반조리판매,온유얼스케이크(ON YOURS CAKE),2025-09-01,,"전북특별자치도 전주시 완산구 신봉3길 35, 1층 (효자동1가)",전북특별자치도 전주시 완산구 효자동1가 605-1 ,,,32.96,N
928,일반조리판매,풀동네 전주효자점,2025-09-01,,"전북특별자치도 전주시 완산구 우전1길 42, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 162-1 ,,,66.82,N
929,일반조리판매,추억82꽈배기,2025-09-08,,"전북특별자치도 전주시 완산구 덕적골1길 31-3, 1층 107호 (평화동1가, 신정아파트)",전북특별자치도 전주시 완산구 평화동1가 471-1 신정아파트 ,,,39.82,N
930,일반조리판매,자미당 서신점,2025-09-15,,"전북특별자치도 전주시 완산구 당산로 17, 114동 1층 113호 (서신동)",전북특별자치도 전주시 완산구 서신동 763-1 신일아파트 ,,,49.5,N
931,일반조리판매,딸랑구찹쌀떡,2025-09-22,,"전북특별자치도 전주시 완산구 은행로 73, 1층 (교동)",전북특별자치도 전주시 완산구 교동 61-8 ,,,16.2,N
932,일반조리판매,생생꽈배기 효자점,2025-09-24,,"전북특별자치도 전주시 완산구 효자천변1길 26-3, 1층 (효자동1가)",전북특별자치도 전주시 완산구 효자동1가 663-12 ,,,17.16,N
933,일반조리판매,노랑와플,2025-09-24,,"전북특별자치도 전주시 완산구 평화18길 29-6, 1층 (평화동1가)",전북특별자치도 전주시 완산구 평화동1가 731-4 ,,,14.5,N
934,일반조리판매,브론드,2025-09-26,,"전북특별자치도 전주시 완산구 우전로 327, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1642-2 ,,,7.38,N
935,일반조리판매,써브웨이 삼천점,2025-10-13,,"전북특별자치도 전주시 완산구 용리로 8, 주건축물제1동 1층 102호 (삼천동1가)",전북특별자치도 전주시 완산구 삼천동1가 284-3 ,,,102.24,N
936,일반조리판매,대박꼬치,2025-10-13,,"전북특별자치도 전주시 완산구 평화14길 28-9, 1층 (평화동1가)",전북특별자치도 전주시 완산구 평화동1가 734-5 ,,,43.2,N
937,일반조리판매,코블러,2025-10-21,,"전북특별자치도 전주시 완산구 문학대3길 7-7, 1층일부 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1605-15 ,,,58.5,N
938,일반조리판매,포동이찹쌀도너츠,2025-10-29,,"전북특별자치도 전주시 완산구 송정2길 28, 1층 (삼천동1가)",전북특별자치도 전주시 완산구 삼천동1가 583-4 ,,,22.47,N
939,일반조리판매,(주)이마트전주점회코너,2025-11-12,,"전북특별자치도 전주시 완산구 당산로 111, 1층 (서신동)",전북특별자치도 전주시 완산구 서신동 767 E마트 ,,,14.46,N
940,일반조리판매,중앙시장족발이야기,2025-11-17,,"전북특별자치도 전주시 완산구 태평5길 41-11, 지하1층 (태평동)",전북특별자치도 전주시 완산구 태평동 38-4 ,,,8.4,N
941,일반조리판매,메카피시 도청점,2025-11-21,,"전북특별자치도 전주시 완산구 우전로 326, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1627-11 ,,,19.78,N
942,일반조리판매,피죠네,2025-11-28,,"전북특별자치도 전주시 완산구 효자로 177, 1층일부층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1699-7 ,,,49.28,N
943,일반조리판매,1동101호,2025-11-28,,"전북특별자치도 전주시 완산구 신봉로 49, 1동 1층 101호 (효자동1가)",전북특별자치도 전주시 완산구 효자동1가 635-2 신일아파트 상가 ,,,11.93,N
944,일반조리판매,랄랄라바움새담,2025-12-05,,"전북특별자치도 전주시 완산구 서곡4길 23, 1층일부 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1424-10 ,,,15.36,N
945,일반조리판매,마이우드커피(Maiwood Coffee),2025-12-16,,"전북특별자치도 전주시 완산구 소태정5길 11, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1203-5 누리빌 ,,,129.86,N
946,일반조리판매,과일산타,2025-12-29,,"전북특별자치도 전주시 완산구 마전들로 33, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1663-12 ,,,151.42,N
947,일반조리판매,비엣테이스트,2026-01-06,,"전북특별자치도 전주시 완산구 마전들로 40, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1686-4 ,,,45,N
948,일반조리판매,붕어빵만파는가게,2026-01-08,,"전북특별자치도 전주시 완산구 효천중앙로 52, 상가1동 1층 104호 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1382 ,,,31.5,N
949,일반조리판매,소모라,2026-01-12,,"전북특별자치도 전주시 완산구 문학대4길 32-3, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1617-3 ,,,137.85,N
950,일반조리판매,상기네차차차,2026-01-27,,"전북특별자치도 전주시 완산구 팔달로 262-9, 1층 (서노송동)",전북특별자치도 전주시 완산구 서노송동 647-11 ,,,13.5,N
951,일반조리판매,순이네분식,2026-01-30,,"전북특별자치도 전주시 완산구 은행로 13, 1층일부층 (풍남동2가)",전북특별자치도 전주시 완산구 풍남동2가 35-1 별이가네식당 ,,,0,N
952,일반조리판매,난장호떡,2026-01-30,,"전북특별자치도 전주시 완산구 은행로 13, 1층일부층 (풍남동2가)",전북특별자치도 전주시 완산구 풍남동2가 35-1 별이가네식당 ,,,0,N
953,일반조리판매,삼청당 롯데백화점 전주점,2026-02-02,,"전북특별자치도 전주시 완산구 온고을로 2, 지하1층 (서신동)",전북특별자치도 전주시 완산구 서신동 971 롯데백화점 ,,,22.77,N
954,일반조리판매,한입간식제작소,2026-02-04,,"전북특별자치도 전주시 완산구 새터로 53, 상가동 1층 104호 (서신동)",전북특별자치도 전주시 완산구 서신동 960-5 동아2차아파트 상가 ,,,24.19,N
955,일반조리판매,빵빵즈 전주효자신시점,2026-02-05,,"전북특별자치도 전주시 완산구 호암로 91, 1층 102호 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1316-4 ,,,0,N
956,전통찻집,완산다원,2004-09-17,063-228-1350,전북특별자치도 전주시 완산구 안행8길 10 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 689-2 ,,,149.97,N
957,전통찻집,고신,2004-08-30,,전북특별자치도 전주시 완산구 태조로 29 (교동),전북특별자치도 전주시 완산구 교동 71-4 ,,,58.68,N
958,전통찻집,교동다원,2007-06-15,,전북특별자치도 전주시 완산구 은행로 65-5 (교동),전북특별자치도 전주시 완산구 교동 64-7 ,,,74.7,N
959,전통찻집,교동십원빵,2008-07-24,,전북특별자치도 전주시 완산구 은행로 58 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 64-2 ,,,112.39,N
960,전통찻집,교동고로케,2009-01-29,063-287-3662,전북특별자치도 전주시 완산구 경기전길 126 (교동),전북특별자치도 전주시 완산구 교동 266-3 ,,,9.6,N
961,전통찻집,산새는하늘을날고,2009-11-25,063-2237-275,전북특별자치도 전주시 완산구 망월길 29-36 (용복동),전북특별자치도 전주시 완산구 용복동 36-13 ,,,154.05,N
962,전통찻집,모련다원,2009-06-01,063-282-8687,전북특별자치도 전주시 완산구 향교길 82 (교동),전북특별자치도 전주시 완산구 교동 137-2 ,,,64.8,N
963,전통찻집,지유명차 전주점,2010-03-24,,전북특별자치도 전주시 완산구 봉곡3길 7-7 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1735-6 ,,,106.3,N
964,전통찻집,교동살래,2011-03-29,,전북특별자치도 전주시 완산구 전주천동로 66-1 (교동),전북특별자치도 전주시 완산구 교동 191-7 ,,,55.96,N
965,전통찻집,풍년카페,2013-01-28,063-288-2078,전북특별자치도 전주시 완산구 오목대길 60 (교동),전북특별자치도 전주시 완산구 교동 60-1 ,,,55.7,N
966,전통찻집,돌담에,2013-09-26,,전북특별자치도 전주시 완산구 경기전길 151 (교동),전북특별자치도 전주시 완산구 교동 98-9 ,,,99.54,N
967,전통찻집,카페아그배,2013-06-24,063-285-2853,전북특별자치도 전주시 완산구 어진길 59 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 84-4 ,,,167.58,Y
968,전통찻집,설이담전주본점,2014-02-18,,전북특별자치도 전주시 완산구 범안2길 2 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1158-1 ,,,60.36,N
969,전통찻집,향기품은뜰,2014-04-24,,전북특별자치도 전주시 완산구 인봉1길 49-5 (중노송동),전북특별자치도 전주시 완산구 중노송동 283-1 ,,,76.03,N
970,전통찻집,전주초코파이,2014-01-24,,"전북특별자치도 전주시 완산구 태조로 35, 2층 (교동)",전북특별자치도 전주시 완산구 교동 271-5 ,,,92.88,N
971,전통찻집,카페달곰,2014-02-27,,전북특별자치도 전주시 완산구 은행로 71 (교동),전북특별자치도 전주시 완산구 교동 62-5 ,,,95.47,N
972,전통찻집,미애담3호점,2015-02-23,063-232-2500,전북특별자치도 전주시 완산구 은행로 53 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 57 ,,,47.52,N
973,전통찻집,구카페,2015-05-04,,전북특별자치도 전주시 완산구 태조로 54 (전동),전북특별자치도 전주시 완산구 전동 73 ,,,53.37,N
974,전통찻집,풍남문전통찻집,2016-03-10,,전북특별자치도 전주시 완산구 팔달로 101-26 (전동),전북특별자치도 전주시 완산구 전동 216-4 ,,,34.3,N
975,전통찻집,한옥마을라온,2016-06-28,,전북특별자치도 전주시 완산구 한지길 99-6 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 16-6 ,,,95.2,N
976,전통찻집,대장금수제맛집,2017-01-25,,전북특별자치도 전주시 완산구 경기전길 151 (교동),전북특별자치도 전주시 완산구 교동 98-9 ,,,16.02,N
977,전통찻집,하늘향기,2017-05-24,,"전북특별자치도 전주시 완산구 중인1길 257-29, 1층 (중인동)",전북특별자치도 전주시 완산구 중인동 1226-1 ,,,64.8,N
978,전통찻집,숨갤러리찻집,2018-01-29,063-232-4799,전북특별자치도 전주시 완산구 어진길 123 (전동),전북특별자치도 전주시 완산구 전동 2-4 ,,,34.02,N
979,전통찻집,두메향기,2018-09-03,,"전북특별자치도 전주시 완산구 전주객사2길 28-15, 1층 (고사동)",전북특별자치도 전주시 완산구 고사동 462-5 ,,,75.6,N
980,전통찻집,일삼이이,2018-05-18,,전북특별자치도 전주시 완산구 향교길 85 (교동),전북특별자치도 전주시 완산구 교동 132-2 ,,,29.46,N
981,전통찻집,너의 고요,2021-09-23,,전북특별자치도 전주시 완산구 전주천동로 60 (교동),전북특별자치도 전주시 완산구 교동 179-2 ,,,257.58,N
982,전통찻집,심선예다원,2022-12-13,,"전북특별자치도 전주시 완산구 전주천동로 306, 2층 (태평동)",전북특별자치도 전주시 완산구 태평동 116-5 ,,,76.39,N
983,전통찻집,소만,2023-10-17,,"전북특별자치도 전주시 완산구 서학1길 3, 1층 (서서학동)",전북특별자치도 전주시 완산구 서서학동 153-4 ,,,63.04,N
984,전통찻집,향인전통찻집,2023-11-24,,"전북특별자치도 전주시 완산구 중인1길 153, 1층 (중인동)",전북특별자치도 전주시 완산구 중인동 867-8 ,,,76.5,N
985,전통찻집,더쌍화카페,2023-11-29,,"전북특별자치도 전주시 완산구 태평3길 44-10, 1층일부층 (태평동)",전북특별자치도 전주시 완산구 태평동 36-32 ,,,25.9,N
986,커피숍,장충동왕족발보쌈 효자점,2002-12-12,063-228-4042,전북특별자치도 전주시 완산구 신봉5길 5 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 607-7 ,,,28,N
987,커피숍,사랑나무,2003-10-16,,전북특별자치도 전주시 완산구 태조로 12-2 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 16-17 ,,,20.64,N
988,커피숍,예담찻집,2003-11-12,063-287-8737,전북특별자치도 전주시 완산구 태조로 43 (교동),전북특별자치도 전주시 완산구 교동 277 ,,,55.44,N
989,커피숍,마이커피,2004-02-17,,,전북특별자치도 전주시 완산구 남노송동 100-6 외1필지 ,,,193.45,Y
990,커피숍,하펠,2006-10-04,063-284-5550,"전북특별자치도 전주시 완산구 전주객사1길 22, 1층 (다가동3가)",전북특별자치도 전주시 완산구 다가동3가 28 어의당병원 ,,,106.41,N
991,커피숍,오래옥 전주한옥마을점,2006-12-13,,전북특별자치도 전주시 완산구 태조로 54 (전동),전북특별자치도 전주시 완산구 전동 73 2동 ,,,98.1,N
992,커피숍,컬러인커피(예수병원점),2007-02-20,,전북특별자치도 전주시 완산구 서원로 365 (중화산동1가),전북특별자치도 전주시 완산구 중화산동1가 300 ,,,35.99,N
993,커피숍,스타벅스전주경원점,2007-03-15,,전북특별자치도 전주시 완산구 전주객사4길 44-18 (고사동),전북특별자치도 전주시 완산구 고사동 142-2 ,,,218.62,N
994,커피숍,투썸플레이스전주평화점,2007-05-02,063-225-3131,"전북특별자치도 전주시 완산구 맏내3길 4, 1층~2층 (평화동1가)",전북특별자치도 전주시 완산구 평화동1가 706-7 자바데이브 ,,,403.08,Y
995,커피숍,카페린,2007-07-10,,"전북특별자치도 전주시 완산구 노송광장로 60 (서노송동,뉴타운장례식장 1층)",전북특별자치도 전주시 완산구 서노송동 685-25 뉴타운장례식장 1층 ,,,39.6,N
996,커피숍,베스트빈,2007-10-22,063-232-1244,,전북특별자치도 전주시 완산구 서노송동 631-32 ,,,27.36,N
997,커피숍,이디야 전주고사점,2008-03-11,063-227-1725,전북특별자치도 전주시 완산구 전주객사5길 32 (고사동),전북특별자치도 전주시 완산구 고사동 55-6 ,,,148.53,Y
998,커피숍,커피팩토리,2008-08-14,,전북특별자치도 전주시 완산구 기린대로 179 (서노송동),전북특별자치도 전주시 완산구 서노송동 568-132 ,,,125.5,N
999,커피숍,씨엘로,2009-03-04,063-221-4562,전북특별자치도 전주시 완산구 안행5길 55 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 111-3 ,,,204.97,Y
1000,커피숍,커피미,2009-07-13,063-251-8656,전북특별자치도 전주시 완산구 감나무4길 20-3 (서신동),전북특별자치도 전주시 완산구 서신동 172-5 외1필지 ,,,96.19,N
1001,커피숍,콩다방,2009-09-18,,"전북특별자치도 전주시 완산구 기린대로 213, 지하1층 21호 (서노송동, 전주대우증권빌딩)",전북특별자치도 전주시 완산구 서노송동 568-95 ,,,21.46,N
1002,커피숍,다빈트리,2009-10-15,,전북특별자치도 전주시 완산구 신촌1길 27-7 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 476-1 ,,,97.46,N
1003,커피숍,빈스인가배몽,2009-05-20,063-231-9793,전북특별자치도 전주시 완산구 은행로 68-10 (교동),전북특별자치도 전주시 완산구 교동 80-11 ,,,67.71,N
1004,커피숍,포스트빈,2009-08-18,,전북특별자치도 전주시 완산구 은행로 49 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 55-11 ,,,45.3,N
1005,커피숍,이디야커피,2010-04-12,,전북특별자치도 전주시 완산구 소대배기로 12 (평화동2가),전북특별자치도 전주시 완산구 평화동2가 890-2 ,,,84.8,N
1006,커피숍,그곳,2010-06-01,063-2860-386,전북특별자치도 전주시 완산구 천경로 24 (동서학동),전북특별자치도 전주시 완산구 동서학동 171-3 ,,,28.7,N
1007,커피숍,베일리커피,2010-09-02,063-250-8012,전북특별자치도 전주시 완산구 천잠로 507 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 977 외7필지 ,,,67.5,N
1008,커피숍,이디야커피삼천점,2010-09-27,,전북특별자치도 전주시 완산구 용리로 43 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 669-4 ,,,87.6,N
1009,커피숍,띠아모(삼천점),2010-09-28,,전북특별자치도 전주시 완산구 거마평로 52 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 608-2 ,,,87.66,N
1010,커피숍,커피하버,2010-10-21,,전북특별자치도 전주시 완산구 어은로 21 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 228-1 ,,,85.2,N
1011,커피숍,마닐마닐,2010-11-12,,전북특별자치도 전주시 완산구 서학로 59 (동서학동),전북특별자치도 전주시 완산구 동서학동 123-6 ,,,24.86,N
1012,커피숍,수플레,2010-11-22,063-236-0246,"전북특별자치도 전주시 완산구 우전2길 63, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 142-14 ,,,186.19,N
1013,커피숍,코코씨엘,2010-11-22,063-232-2232,전북특별자치도 전주시 완산구 현무1길 9-16 (경원동3가),전북특별자치도 전주시 완산구 경원동3가 61-3 ,,,54,N
1014,커피숍,탐앤탐스서부신시가지점,2010-12-07,063-236-7942,"전북특별자치도 전주시 완산구 우전로 208 (효자동2가,1층,2층)","전북특별자치도 전주시 완산구 효자동2가 1256-2 1층,2층 ",,,286,Y
1015,커피숍,전북대학교(미술관옆),2010-12-08,063-270-4669,전북특별자치도 전주시 완산구 어진길 32 (풍남동2가),전북특별자치도 전주시 완산구 풍남동2가 43-2 ,,,38.28,N
1016,커피숍,이디야커피서신점,2010-12-09,063-254-1060,전북특별자치도 전주시 완산구 여울로 17-8 (서신동),전북특별자치도 전주시 완산구 서신동 968-7 호암빌딩 102호,,,150.23,N
1017,커피숍,커피마노,2010-12-24,,,전북특별자치도 전주시 완산구 동서학동 101 ,,,38,N
1018,커피숍,아트커피,2010-02-17,063-273-8932,전북특별자치도 전주시 완산구 태평2길 21 (태평동),전북특별자치도 전주시 완산구 태평동 291 에스케이뷰아파트상가동 101호호,,,55.44,N
1019,커피숍,피시톡,2011-02-25,,"전북특별자치도 전주시 완산구 백제대로 255 (중화산동2가,2층)",전북특별자치도 전주시 완산구 중화산동2가 629-8 2층 ,,,45.14,N
1020,커피숍,유럽,2011-03-03,063-227-8772,"전북특별자치도 전주시 완산구 문학대2길 4 (효자동3가,외1필지)",전북특별자치도 전주시 완산구 효자동3가 1621-13 외1필지 ,,,101.34,N
1021,커피숍,더벤티전주삼천점,2011-03-14,,전북특별자치도 전주시 완산구 용리로 136 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 621-6 ,,,14.4,N
1022,커피숍,기쁜날의 축제,2011-04-21,063-281-9080,"전북특별자치도 전주시 완산구 팔달로 262-6 (서노송동,세이브존 4층)",전북특별자치도 전주시 완산구 서노송동 627-1 세이브존 4층 ,,,37.03,N
1023,커피숍,투썸플레이스(전주신시가지점),2011-04-27,,"전북특별자치도 전주시 완산구 홍산중앙로 13, 103호 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1155-10 103호,,,153.01,N
1024,커피숍,발리,2011-06-20,,"전북특별자치도 전주시 완산구 서원로 365 (중화산동1가,행정동)",전북특별자치도 전주시 완산구 중화산동1가 300 행정동 ,,,52.73,N
1025,커피숍,커피모아,2011-06-30,063-227-6482,전북특별자치도 전주시 완산구 봉곡2길 12 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1727-1 ,,,107.32,N
1026,커피숍,커피베이(홈플러스전주효자점),2011-07-27,,"전북특별자치도 전주시 완산구 용머리로 31 (효자동1가,외14필지)",전북특별자치도 전주시 완산구 효자동1가 431-5 외14필지 ,,,0,N
1027,커피숍,항아리,2011-08-16,,전북특별자치도 전주시 완산구 봉곡로 47 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1253-1 ,,,36.9,N
1028,커피숍,투썸플레이스전주엘에이치점,2011-08-19,063-236-2342,"전북특별자치도 전주시 완산구 홍산로 160-3 (효자동2가,104호)",전북특별자치도 전주시 완산구 효자동2가 1332-1 104호 ,,,127,N
1029,커피숍,컬러인커피스트라다점,2011-08-22,063-224-2744,"전북특별자치도 전주시 완산구 중산1길 15 (중화산동2가,1,2층)","전북특별자치도 전주시 완산구 중화산동2가 636-5 1,2층 ",,,617.76,Y
1030,커피숍,써클,2011-10-21,,전북특별자치도 전주시 완산구 호암로 80 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1319-2 303호호,,,6.3,N
1031,커피숍,비어드파파전주효자점,2011-11-16,063-282-9393,"전북특별자치도 전주시 완산구 마전들로 77, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1648-6 ,,,56.76,N
